артикул;зачеркнутая цена;цена;;;;
GP  40*40;9,01;12,13;;;;
GP  40*40L;10,57;13,69;;;;
GP  60*60;9,48;12,64;;;;
GP  80*40;12,33;16,60;;;;
GP  80*40L;12,33;16,59;;;;
GP  80*60;15,65;21,07;;;;
GP  80*60L;15,63;21,06;;;;
GP  80*80;24,12;28,38;;;;
GP  80*80L;18,02;24,26;;;;
GP  100*40;9,24;11,60;;;;
GP  100*40L;7,93;9,95;;;;
GP  100*60;18,66;23,99;;;;
GP  100*60L;13,52;18,21;;;;
GP  100*80;22,74;26,66;;;;
GP  100*80L;17,78;23,94;;;;
GP  100*100;17,01;21,35;;;;
GP  100*100L;13,44;16,87;;;;
GP  150*100;23,21;29,12;;;;
GP  150*100L;18,59;23,32;;;;
GP  150*40;12,71;15,95;;;;
GP  150*40L;9,56;11,99;;;;
GP  150*60;22,69;26,90;;;;
GP  150*60L;13,13;16,47;;;;
GP  150*80;22,14;30,65;;;;
GP  150*80L;15,44;19,37;;;;
GP  200*40;15,23;19,11;;;;
GP  200*40L;11,97;15,02;;;;
GP  200*60;21,95;27,54;;;;
GP  200*60L;16,17;20,29;;;;
GP  200*80;27,30;34,26;;;;
GP  200*80L;19,95;25,04;;;;
GP  200*100;30,24;37,95;;;;
GP  200*100L;21,53;27,01;;;;
